season,competition,club,date,result,opponent,goalkeeper,player,scored
19/20,Ligue 1,Paris Saint-Germain,2020-01-26,0:2,LOSC Lille,Mike Maignan,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
09/10,Campeonato Paulista,Santos FC,2010-02-28,2:1,Sport Club Corinthians Paulista,Felipe,Neymar,0
19/20,Ligue 1,Paris Saint-Germain,2020-01-15,1:4,AS Monaco,Benjamin Lecomte,Neymar,1
19/20,Ligue 1,Paris Saint-Germain,2020-01-12,3:3,AS Monaco,Benjamin Lecomte,Neymar,1
19/20,Ligue 1,Paris Saint-Germain,2019-12-04,2:0,FC Nantes,Alban Lafont,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2019-05-04,1:1,OGC Nice,Walter Benítez,Neymar,1
18/19,International Friendlies,Brazil,2018-11-16,1:0,Uruguay,Martín Campaña,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2018-11-11,0:4,AS Monaco,Diego Benaglio,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2018-10-07,5:0,Olympique Lyon,Anthony Lopes,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2018-09-26,4:1,Stade Reims,Edouard Mendy,Neymar,1
18/19,International Friendlies,Brazil,2018-09-12,5:0,El Salvador,Henry Hernández,Neymar,1
18/19,International Friendlies,Brazil,2018-09-08,0:2,United States,Zack Steffen,Neymar,1
18/19,Ligue 1,Paris Saint-Germain,2018-08-18,1:3,EA Guingamp,Karl-Johan Johnsson,Neymar,1
17/18,Ligue 1,Paris Saint-Germain,2018-01-27,4:0,Montpellier HSC,Benjamin Lecomte,Neymar,1
17/18,Ligue 1,Paris Saint-Germain,2018-01-17,8:0,Dijon FCO,Baptiste Reynet,Neymar,1
17/18,Coupe de la Ligue,Paris Saint-Germain,2018-01-10,0:2,Amiens SC,Jean-Christophe Bouet,Neymar,1
17/18,Ligue 1,Paris Saint-Germain,2017-11-26,1:2,AS Monaco,Danijel Subasic,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
09/10,Campeonato Paulista,Santos FC,2010-02-28,2:1,Sport Club Corinthians Paulista,Felipe,Neymar,0
17/18,International Friendlies,Brazil,2017-11-10,1:3,Japan,Eiji Kawashima,Neymar,1
17/18,Ligue 1,Paris Saint-Germain,2017-09-30,6:2,FC Girondins Bordeaux,Benoît Costil,Neymar,1
16/17,UEFA Champions League,FC Barcelona,2017-03-08,6:1,Paris Saint-Germain,Kevin Trapp,Neymar,1
16/17,Copa del Rey,FC Barcelona,2017-01-19,0:1,Real Sociedad,Gerónimo Rulli,Neymar,1
16/17,Copa del Rey,FC Barcelona,2017-01-11,3:1,Athletic Bilbao,Gorka Iraizoz,Neymar,1
16/17,LaLiga,FC Barcelona,2016-10-02,4:3,Celta de Vigo,Sergio Álvarez,Neymar,1
15/16,World Cup qualification South America,Brazil,2016-09-01,0:3,Ecuador,Alexander Domínguez,Neymar,1
15/16,Olympic Games,Brazil Olympic Team,2016-08-17,6:0,Honduras Olympic Team,Luis López,Neymar,1
15/16,LaLiga,FC Barcelona,2016-04-23,6:0,Sporting Gijón,Iván Cuéllar,Neymar,1
15/16,LaLiga,FC Barcelona,2016-03-20,2:2,Villarreal CF,Sergio Asenjo,Neymar,1
15/16,UEFA Champions League,FC Barcelona,2015-11-04,3:0,BATE Borisov,Sergey Chernik,Neymar,1
15/16,LaLiga,FC Barcelona,2015-10-17,5:2,Rayo Vallecano,Toño,Neymar,1
15/16,LaLiga,FC Barcelona,2015-10-17,5:2,Rayo Vallecano,Toño,Neymar,1
15/16,LaLiga,FC Barcelona,2015-10-03,2:1,Sevilla FC,Sergio Rico,Neymar,1
15/16,International Friendlies,Brazil,2015-09-09,1:4,United States,Brad Guzan,Neymar,1
11/12,Recopa Sudamericana,Santos FC,2012-08-22,0:0,Club Universidad de Chile,Johnny Herrera,Neymar,0
10/11,Copa Libertadores,Santos FC,2011-05-19,1:1,Once Caldas,Luis Martínez,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-10-24,2:3,Grêmio Barueri Futebol Ltda.,Giovanni,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-28,2:0,Goiás EC,Harlei,Neymar,0
09/10,Campeonato Brasileiro Série A,Santos FC,2010-08-25,1:2,Grêmio Foot-Ball Porto Alegrense,Victor,Neymar,0
09/10,Copa do Brasil,Santos FC,2010-07-29,2:0,Esporte Clube Vitória,Lee Oliveira,Neymar,0
